Step,Target_Conc_ppm,Actual_Conc_ppm,Base_Flow_Lmin,Variable_Flow_Lmin,Variable_Instrument,Timestamp
1,0.00,0.00,1.0000,0.0000,0,2025-12-15T16:07:20.515519
2,10.00,461.50,0.9999,0.1017,8,2025-12-15T16:07:48.637184
3,20.00,377.06,1.0000,0.0816,8,2025-12-15T16:07:55.397574
4,30.00,330.87,1.0000,0.0709,8,2025-12-15T16:08:00.905403
5,40.00,290.56,1.0000,0.0617,8,2025-12-15T16:08:07.568658
6,50.00,1072.19,1.0000,0.2730,5,2025-12-15T16:08:13.550128
7,60.00,988.97,0.9999,0.2465,5,2025-12-15T16:08:20.036679
8,70.00,1135.58,1.0000,0.2939,5,2025-12-15T16:08:25.931737
9,80.00,823.46,0.9999,0.1971,5,2025-12-15T16:08:32.675781
10,90.00,780.57,0.9999,0.1850,5,2025-12-15T16:08:38.437242
11,100.00,992.58,1.0000,0.2477,5,2025-12-15T16:08:45.046258
