Gas;Experiment_number;expected_CH4_ppm;CH4_ppm;CH4_isotope;CO2_ppm;CO2_isotope;H2O_%
CO2_ppm;1;0;2;-40,88;97,25;-163,8;0,189
CO2_ppm;2;0;2,039;-40,38;97,34;-163,5;0,19
CO2_ppm;3;0;2,038;-41,66;96,41;-166,2;0,2
Synthetic_air_RIVER;1;0;0,03;49,06;7,8;-4,725;0,09
Gas_Subocean_pump_outlet;1;0;1,73;-48,17;379;-11,71;0,63
Gas_Subocean_pump_outlet;2;0;1,735;-46,87;379,8;-11,87;0,67
Gas_Subocean_pump_outlet;3;0;1,73;-46,51;379;-11,92;0,69
Synthetic_air_SENSE;1;0;0,03;-100,5;10,1;-24,25;0,14
CH4_100ppm_bag_1;1;100;90,25;-37,62;13,23;-1416;0,54
CH4_100ppm_bag_1;2;100;90,09;-37,92;11,93;-1589;0,53
CH4_100ppm_bag_1;3;100;90,08;-37,75;13,17;-1416;0,55
CH4_100ppm_bag2;1;100;92,64;-37,63;14,45;-1118;0,56
CH4_100ppm_bag2;2;100;92,12;-37,92;16,9;-1030;0,57
CH4_100ppm_bag2;3;100;92,08;-37,8;17,27;-922,8;0,57
