Gas,Set_Flow,Measured_Flow,Location,Error_Abs,Error_Pct,Predicted_Linear,Predicted_Affine
Zero,0.0,0.0,Table,0.0,,0.0,-0.0008966809735750925
Air,0.1,0.114,Table,0.013999999999999999,13.999999999999998,0.11841967509462714,0.11773070656133366
Air,0.3,0.342,Table,0.04200000000000004,14.000000000000012,0.3552590252838814,0.3549854816311512
Air,0.5,0.575,Table,0.07499999999999996,14.999999999999991,0.5920983754731357,0.5922402567009687
CH4,0.3,0.362,Table,0.062,20.666666666666668,0.3552590252838814,0.3549854816311512
CH4,0.1,0.12,Table,0.01999999999999999,19.99999999999999,0.11841967509462714,0.11773070656133366
CH4,0.1,0.119,Table,0.01899999999999999,18.99999999999999,0.11841967509462714,0.11773070656133366
CH4,0.01,0.0116,Table,0.001599999999999999,15.99999999999999,0.011841967509462715,0.010966057779915784
CH4,0.02,0.0237,Table,0.0036999999999999984,18.499999999999993,0.02368393501892543,0.02282879653340666
CH4,0.001,0.0017,Table,0.0006999999999999999,69.99999999999999,0.0011841967509462715,0.0002895929017739951
Mix,0.6,0.733,Table,0.133,22.166666666666668,0.7105180505677628,0.7108676442358774
Mix,0.51,0.592,Table,0.08199999999999996,16.078431372549012,0.6039403429825985,0.6041029954544596
Mix,0.501,0.579,Table,0.07799999999999996,15.568862275449094,0.593282572224082,0.5934265305763178
Mix,0.3,0.362,Table,0.062,20.666666666666668,0.3552590252838814,0.3549854816311512
Mix,0.4,0.485,Table,0.08499999999999996,21.249999999999993,0.47367870037850857,0.47361286916605994
He,0.1,0.114,Table,0.013999999999999999,13.999999999999998,0.11841967509462714,0.11773070656133366
He,0.5,0.574,Table,0.07399999999999995,14.79999999999999,0.5920983754731357,0.5922402567009687
Air,0.1,0.122,Enceinte,0.021999999999999992,21.999999999999993,0.11841967509462714,0.11773070656133366
Air,0.5,0.615,Enceinte,0.11499999999999999,23.0,0.5920983754731357,0.5922402567009687
He,0.1,0.115,Enceinte,0.015,15.0,0.11841967509462714,0.11773070656133366
He,0.5,0.574,Enceinte,0.07399999999999995,14.79999999999999,0.5920983754731357,0.5922402567009687
Mix,0.6,0.737,Enceinte,0.137,22.833333333333336,0.7105180505677628,0.7108676442358774
Mix,0.31,0.377,Enceinte,0.067,21.612903225806456,0.3671009927933441,0.36684822038464204
Mix,0.101,0.124,Enceinte,0.022999999999999993,22.772277227722764,0.11960387184557342,0.11891698043668276
He,0.1,0.115,Pompe,0.015,15.0,0.11841967509462714,0.11773070656133366
He,0.5,0.576,Pompe,0.07599999999999996,15.199999999999992,0.5920983754731357,0.5922402567009687
